id,content_type,content
647,stall,Good meat and salad :)
646,stall,Tasty hotcakes for an amazing breakfast  :)
645,stall,Love their cake and bread for a quick eat :)
644,stall,Maybe the best fried-chicken at school...
643,stall,"Fresh bread, salad, and meat :) Love their cookies as well..."
642,stall,Average burger with a dry taste...
641,stall,Somewhat expensive food for what you get ...
640,stall,Best place to chill and drink :)
639,stall,Good place for group orders!
638,stall,Seafood dishes are great :)
637,stall,Their frappe drinks are my favorites :)
636,stall,Get a full pizza for a cheap price :)
635,stall,Large portion for a reasonable price :)
634,stall,Great food variety...Many things to try...
633,stall,Expensive drink... Taste is not special...
632,stall,Love the chicken skin but no longer available :(
631,stall,Place is usually crowded!! Good food and drink though...
630,stall,Love the valued combo for lunch.
629,stall,Tasty coffee in a cozy atmosphere :)
628,stall,Pizza types are not diverse!! Not many side dishes as well!!!
627,stall,Always my favorite franchise :). Price is a bit high compared to other fast-food chains!!
626,stall,Food is average!! I don't like the greasy taste!!
625,stall,Best spicy hamburger!!! Try out the McSpicy!!
624,stall,Acceptable rice with awesome curry :)
621,stall,Delicious and tasty milk coffee :)
620,stall,Really tasty Chinese food at a low price
619,stall,Average drinks. not much else to say.
618,stall,"Our favorite Indian place - nice, simple atmosphere"
617,stall,Many lovely food to try :)
616,stall,The duck rice was not bad.
615,stall,Bibimbap and Mayo are a great combination :)
614,stall,Awful sauce taste... Chicken is acceptable though...
613,stall,Hot Thai food :)
612,stall,Amazing fried wonton and soup :)
611,stall,Chicken and pork for a lovely dinner :)
610,stall,Greasy taste!! Noodle is just acceptable...
609,stall,Love the kimchi fried rice! Spicy kimchi :)
608,stall,Love their food! But price should be lower :(
607,stall,Food is diverse!! Stall always opens
606,stall,Grilled fish are great
605,stall,Tea and coffee are exceptional!!
604,stall,Love sweet and sour chicken !!!
603,stall,Always my choice for a quick meal :)
602,stall,Noodle sauce tasted good.
601,stall,Feel like I was in Korea :) Very authentic food!!
600,stall,Side dishes are fabulous...!!
598,stall,Drink options are diverse!! Snacks are good as well!!
597,stall,Yummy crispy chicken :)
596,stall,Stall is crowded during dinner time... Taste is excellent :)
595,stall,Special pandan rice :)
594,stall,Delicious food but slow service...
593,stall,Amazing drinks and juices :) Stall is crowded during noon!!
592,stall,Fabulous Malay food in town :)
591,stall,They should improve food in the future.
590,stall,Excellent stall for Drinks and Appetizers.
589,stall,I love salad with these amazing sauces :)
588,stall,Small portion...
587,stall,bee hoon taste is a bit weird and bland... Can be improved :)
586,stall,Aglio Olio dish is amazing and must-try dish :)
585,stall,Greasy taste is not really good...
584,stall,Price is quite high but taste is really good...
583,stall,Noodle taste is just above average...
582,stall,Pasta is really fabulous!! Amazing french fries too :)
580,stall,Wonton is just average... Soup is not that amazing...
579,stall,My chicken dish was fabulous and really fresh. Loved it.
578,stall,Quick service and good soup :)
576,stall,Very efficient and friendly staff
575,stall,Good place to eat - all items are well prepared
574,stall,"FRIENDLY staff, great prices."
573,stall,Wonderful food with a cheap price!!!
570,stall,Various special dishes every day... Love them!!
569,stall,Kimchi is tasteless... other food is acceptable...
568,stall,Love the crispy chicken with lemon taste...
567,stall,Place is always crowded during lunch!! Friendly owner and Tasty food!!!
566,stall,Simple disk with average taste...
565,stall,Excellent spicy and sour noodle :)
564,stall,Large portion at a reasonable price!! Love it :)
563,stall,Food options are always diverse :)
562,stall,Tom yum soup is tasty!! Large portion for pork noodle :)
561,stall,I love the side dishes so much!! French fries with cheese and cold pasta are the best :)
560,stall,My most favorite ramen :)
559,stall,Average kimchi taste ...
558,stall,"New server is nice, much better now :)"
557,stall,Delicious mala dish!! They have improved the taste :)
556,stall,Awesome fried rice :)
555,stall,Aunty is so friendly... She allowed me to customize my drinks :)
552,stall,Love the beef noodles for a dinner meal :)
551,stall,Ramen taste is amazing though :)
550,stall,A tasty breakfast for a good day :)
549,stall,Too much oil for my dish... I don't like the greasy taste...
547,stall,Lovely food with a cheap price!!!
546,stall,Really cool place.
545,stall,"Fabulous food, drinks and atmosphere :)"
544,stall,Huge menu with diverse options :)
543,stall,"Tried all chicken, pork, and fish were my favorites."
542,stall,Not fabulous but good drinks :)
541,stall,Open until night!! Best place for late dinner :)
540,stall,My best Chinese dish so far :)
539,stall,The food is not good... I don't like the taste!!
538,stall,The place is a bit old but food is good :)
537,stall,Taste feels so original and authentic :)
536,stall,The place is newly renovated :)
535,stall,"Oh my, the seafood spicy noodle soup is soooo good."
534,stall,Consistent quality and flavors. The hot sauce is good.
533,stall,Delicious bento set :)
532,stall,I love the cheese waffle :) Always my favorite snack!!
531,stall,Best Thai in town. I've been eating here since my first year.
530,stall,Lovely place for a dinner with friends!!
529,stall,Good place to grab breakfast that doesn't cost a fortune.
528,stall,"Good food, quick service."
527,stall,Food options are diverse! Great place for a Friday night at school...
526,stall,Love the sweet tofu!! Drinks are just average though...
525,stall,"Food sometimes is cold, just acceptable..."
524,stall,I love this place. The mala is to die for.
523,stall,The food is average but the owner is soooo nice.
522,stall,"Amazing everything. Great chicken, rice, veggie and soup :)"
521,stall,"Very good chinese food, need to try more!!"
520,stall,Delicous dish!! Lovely aunty!! Would come back again!!!
519,stall,"Decent food, average prices"
518,stall,Best Chinese noodles in the area. Great owner!!!
517,stall,Awesome traditional drink stall.
516,stall,Great place to chill and eat...
515,stall,Fresh Italian food with a emphasis on fish dishes and cream sauces
514,stall,Love this clean drink in such a convenient location.
511,stall,The food is average but sometimes cold...
510,stall,I love the sour and spicy noodle :)
509,stall,Fresh classic traditional cuisine.  Always amazing dish.
508,stall,"Not a terrible dining experience, but certainly not a special one."
507,stall,Drink price is so high!!! Increasing price every semester...
505,stall,Noodle taste is awesome!! Their fishball is the best!!!
502,stall,I love this place. It's my favorite mala stall.
501,stall,Huge portion saba fish set... Love it!!!
500,stall,Porridge is just acceptable... Rice is better.
499,stall,"Favorite place on for dinner! Love the service, always friendly."
498,stall,Roasted chicken and pork is the greatest combo :)
497,stall,Kimchi has average taste... Can be better...
496,stall,Avocado milkshake is incredible!!! Best taste!!
495,stall,"They have excellent taste, definitely coming back!"
494,stall,"Food was great quality, and fresh."
493,stall,This stall is great.  Food is served quickly and at a reasonable price.
